a_name,b_name,count,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,839080,,,,,,,,,,,,,,,,,,,,
USPEC_POLITICS_GENERAL1,WB_840_JUSTICE,16613451,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,10013102,,,,,,,,,,,,,,,,,,,,
LEADER,USPEC_POLITICS_GENERAL1,9045689,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,10881367,,,,,,,,,,,,,,,,,,,,
EPU_POLICY_GOVERNMENT,WB_840_JUSTICE,9907258,,,,,,,,,,,,,,,,,,,,
LEADER,WB_840_JUSTICE,11728947,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,7964329,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,WB_840_JUSTICE,14336758,,,,,,,,,,,,,,,,,,,,
WB_2433_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,10935074,,,,,,,,,,,,,,,,,,,,
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,9384527,,,,,,,,,,,,,,,,,,,,
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,24009585,,,,,,,,,,,,,,,,,,,,
WB_831_GOVERNANCE,WB_840_JUSTICE,17791877,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,172412,,,,,,,,,,,,,,,,,,,,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_840_JUSTICE,9384522,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,11476438,,,,,,,,,,,,,,,,,,,,
USPEC_POLICY1,WB_840_JUSTICE,12573576,,,,,,,,,,,,,,,,,,,,
WB_832_ANTI_CORRUPTION,WB_840_JUSTICE,17048567,,,,,,,,,,,,,,,,,,,,
WB_694_BROADCAST_AND_MEDIA,WB_840_JUSTICE,7840820,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,12373815,,,,,,,,,,,,,,,,,,,,
MANMADE_DISASTER_IMPLIED,WB_840_JUSTICE,12054464,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,10674196,,,,,,,,,,,,,,,,,,,,
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,11884494,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,EPU_ECONOMY_HISTORIC,13304306,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,9310658,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,13771510,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_670_ICT_SECURITY,1746220,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,9084382,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,SOC_GENERALCRIME,13208689,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,TAX_FNCACT_PRESIDENT,12345439,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,MEDIA_MSM,17970531,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,EPU_POLICY_GOVERNMENT,13568001,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,LEADER,10973839,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,EPU_CATS_MIGRATION_FEAR_FEAR,14069269,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,8276520,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,19152092,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,13873314,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,16459601,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,14370821,,,,,,,,,,,,,,,,,,,,
